2024-04-15 11:42:45,154 - ERROR - Error creating City Charlestown: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:42:46,345 - INFO - New City Created with the deatils- name=Chillicothe, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:42:47,579 - INFO - New City Created with the deatils- name=Chillicothe, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:42:48,785 - INFO - New City Created with the deatils- name=Clarkstone, Mapped State ID=17, Remapped Country ID=US.
2024-04-15 11:42:49,976 - INFO - New City Created with the deatils- name=Clarkstone, Mapped State ID=54, Remapped Country ID=US.
2024-04-15 11:42:51,197 - INFO - New City Created with the deatils- name=Clarksville, Mapped State ID=10, Remapped Country ID=US.
2024-04-15 11:42:52,861 - INFO - New City Created with the deatils- name=Clarksville, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:42:54,081 - INFO - New City Created with the deatils- name=Clear Lake, Mapped State ID=11, Remapped Country ID=US.
2024-04-15 11:42:55,272 - INFO - New City Created with the deatils- name=Nazareth, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:42:56,470 - INFO - New City Created with the deatils- name=New Albany, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:42:57,669 - INFO - New City Created with the deatils- name=Maryville, Mapped State ID=49, Remapped Country ID=US.
2024-04-15 11:42:58,979 - INFO - New City Created with the deatils- name=New Albany, Mapped State ID=31, Remapped Country ID=US.
2024-04-15 11:43:00,366 - INFO - New City Created with the deatils- name=New Castle, Mapped State ID=45, Remapped Country ID=US.
2024-04-15 11:43:01,646 - INFO - New City Created with the deatils- name=Trinity, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:43:02,873 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=19, Remapped Country ID=US.
2024-04-15 11:43:04,082 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:43:05,473 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:43:06,781 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=29, Remapped Country ID=US.
2024-04-15 11:43:07,982 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:43:09,177 - INFO - New City Created with the deatils- name=Mayville, Mapped State ID=41, Remapped Country ID=US.
2024-04-15 11:43:10,376 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=33, Remapped Country ID=US.
2024-04-15 11:43:11,575 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=39, Remapped Country ID=US.
2024-04-15 11:43:12,783 - INFO - New City Created with the deatils- name=Troy, Mapped State ID=42, Remapped Country ID=US.
